StudyName,Type,Tmin,Tmax,Pmin,Pmax,WCalib,Mg#,sigma_i,sigma_i_err,h_i,h_i_err,sigma_pol,sigma_pol_err,h_pol,h_pol_err,sigma_p,sigma_p_err,h_p,h_p_err,r,r_err,alpha_p,alpha_p_err,wtype,dens_mat
Sifre2014_H2O_CO2,3,1473,1923,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2800
Pommier2008,3,1473,1923,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2800
Ni2011,3,1473,1923,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2800
Scarlato2004_DryBasalt,3,400,800,0.9,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2800
TyburczyWaff1983_DryTholeiite,3,1300,1900,0.43,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2800
TyburczyWaff1983_DryAndesite,3,1300,1900,0.43,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2800
Gaillard2005_K2O_Dependent,3,1291,1623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2800
Guo2017_WetAndesite,3,1164,1573,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2800
Laumonier2017_WetAndesite,3,1235,1655,0.5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2800
Laumonier2015_WetDacite,3,673,1544,0.15,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2800
Gaillard2004_WetRhyolite,3,623,1598,0.05,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2800
Guo2016_WetRhyolite,3,673,1544,0.36,2.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2800
Chen2018_WetGranite,3,739,1578,0.15,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2800
Guo2018_WetGranite,3,873,1573,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2800
