StudyName,Type,Tmin,Tmax,Pmin,Pmax,Mg#,sigma_i,sigma_i_err,h_i,h_i_err,sigma_pol,sigma_pol_err,h_pol,h_pol_err
Constable2006***,0,1273,1573,0,0,0.91,0,0,0,0,0,0,0,0
Dai2014c*,0,873,1473,4,4,0,0,0,0,0,0,0,0,0
Sun2021_chr_4perc,1,873,1223,2,2,0.89,0,0,0,0,0.62,0.03,78000,2000
Sun2021_chr_7perc,1,873,1223,2,2,0.89,0,0,0,0,0.93,0.08,83000,1000
Sun2021_chr_10perc,1,873,1223,2,2,0.89,0,0,0,0,1.27,0.08,87000,1000
Sun2021_chr_13perc,1,873,1223,2,2,0.89,0,0,0,0,1.54,0.1,79000,1000
Sun2021_chr_16perc,1,873,1223,2,2,0.89,0,0,0,0,1.48,0.04,54000,1000
Sun2021_chr_18perc,1,873,1223,2,2,0.89,0,0,0,0,1.68,0.01,48000,1000
Sun2021_chr_23perc,1,873,1223,2,2,0.89,0,0,0,0,2.52,0.03,51000,1000
Dai2019b_mgt_3,1,873,1273,2,2,0.89,0,0,0,0,0.28,0.03,21000,2000
Dai2019b_mgt_5,1,873,1273,2,2,0.89,0,0,0,0,0.49,0.02,13000,1000
Dai2019b_mgt_7,1,873,1273,2,2,0.89,0,0,0,0,1.97,0.01,20000,2000
Dai2019b_mgt_10,1,873,1273,2,2,0.89,0,0,0,0,1.72,0.03,15000,1000
Dai2019b_mgt_20,1,873,1273,2,2,0.89,0,0,0,0,2.4,0.02,6000,1000
Fullea2011_ol*,0,1000,1573,2.9,4,0,0,0,0,0,0,0,0,0
Gardes2014,1,500,2000,1,10,0.91,5.07,1.32,239000,46000,2.34,0.67,144000,16000
Pommier2018****,0,923,1573,2.8,2.8,0.9,0,0,0,0,0,0,0,0
Wang2006,1,873,1273,4,4,0.91,0,0,0,0,2.4,0,154000,0
Yoshino2009,1,500,2000,10,10,0.91,4.73,0.53,231000,7000,2.98,0.85,171000,4000
Yoshino2012*,0,900,1600,1,18,0,0,0,0,0,0,0,0,0
Xu1998,1,1273,1673,4,4,0.91,0,0,0,0,2.69,0.17,162000,4000
Zhang_olfe_bb72,1,1675,1675,6,6,0.9,0,0,0,0,1.0149,0,39420,310
Zhang_olfe_bb99,1,1675,1675,6,6,0.9,0,0,0,0,1.2866,0,55710,550
Zhang_olfe_bb105,1,1675,1675,6,6,0.9,0,0,0,0,0.975,0,47400,180
Zhang_ol,1,1675,1675,6,6,0.9,0,0,0,0,0.9566,0,83030,380
